airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Jet Airways,2019-05-12,Kolkata,Banglore,14:05:00,22:35:00,510,1.0,No Info,14781
Spicejet,2019-06-12,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No check-in baggage included,3841
Air India,2019-05-06,Banglore,Delhi,21:05:00,23:55:00,170,0.0,No Info,5228
Vistara,2019-03-09,Banglore,New Delhi,16:10:00,18:50:00,160,0.0,No Info,7923
Indigo,2019-03-27,Delhi,Cochin,07:45:00,13:40:00,355,1.0,No Info,4832
Indigo,2019-06-27,Delhi,Cochin,05:35:00,08:50:00,195,0.0,No Info,5000
Air Asia,2019-03-18,Kolkata,Banglore,10:20:00,12:55:00,155,0.0,No Info,4384
Jet Airways,2019-06-09,Mumbai,Hyderabad,07:05:00,08:30:00,85,0.0,No Info,5678
Air India,2019-03-06,Mumbai,Hyderabad,21:05:00,22:25:00,80,0.0,No Info,5462
Indigo,2019-04-27,Delhi,Cochin,21:50:00,03:35:00,345,1.0,No Info,6307
Jet Airways,2019-06-12,Delhi,Cochin,20:55:00,19:00:00,1325,1.0,In-flight meal not included,10262
Multiple Carriers,2019-05-15,Delhi,Cochin,10:35:00,19:00:00,505,1.0,No Info,9103
Vistara,2019-03-12,Mumbai,Hyderabad,07:30:00,19:55:00,745,1.0,No Info,12080
Air India,2019-06-21,Banglore,Delhi,21:05:00,23:55:00,170,0.0,No Info,5228
Air India,2019-06-24,Delhi,Cochin,13:30:00,23:00:00,570,1.0,No Info,8907
Spicejet,2019-03-18,Mumbai,Hyderabad,05:45:00,07:05:00,80,0.0,No Info,2437
Air India,2019-04-01,Kolkata,Banglore,10:00:00,10:30:00,1470,3.0,No Info,12954
Jet Airways,2019-05-27,Delhi,Cochin,05:30:00,19:00:00,810,2.0,In-flight meal not included,13029
Air India,2019-06-06,Delhi,Cochin,17:15:00,19:15:00,1560,2.0,No Info,12777
Indigo,2019-06-01,Delhi,Cochin,05:10:00,10:05:00,295,1.0,No Info,6842
Indigo,2019-03-01,Banglore,New Delhi,10:05:00,13:00:00,175,0.0,No Info,10067
Jet Airways,2019-03-24,Kolkata,Banglore,21:10:00,16:20:00,1150,1.0,No Info,13759
Jet Airways,2019-03-24,Kolkata,Banglore,18:55:00,18:10:00,1395,1.0,No Info,14231
Indigo,2019-06-21,Delhi,Cochin,05:35:00,08:50:00,195,0.0,No Info,5000
Vistara,2019-03-24,Kolkata,Banglore,20:20:00,09:10:00,770,1.0,No Info,12312
Vistara,2019-06-06,Kolkata,Banglore,17:00:00,23:25:00,385,1.0,No Info,8610
Jet Airways,2019-03-18,Banglore,New Delhi,07:00:00,16:10:00,550,1.0,No Info,12284
Jet Airways,2019-06-12,Delhi,Cochin,02:15:00,12:35:00,620,1.0,In-flight meal not included,10262
Indigo,2019-03-27,Chennai,Kolkata,13:20:00,15:35:00,135,0.0,No Info,3384
Jet Airways,2019-05-27,Banglore,Delhi,15:15:00,18:10:00,175,0.0,In-flight meal not included,3502
Indigo,2019-04-24,Banglore,Delhi,13:00:00,15:50:00,170,0.0,No Info,4423
Vistara,2019-05-09,Kolkata,Banglore,17:00:00,09:05:00,965,1.0,No Info,9187
Indigo,2019-06-18,Banglore,Delhi,18:25:00,21:20:00,175,0.0,No Info,4823
Air Asia,2019-04-03,Kolkata,Banglore,10:20:00,12:55:00,155,0.0,No Info,4107
Multiple Carriers,2019-06-24,Delhi,Cochin,13:00:00,21:00:00,480,1.0,No Info,7408
Indigo,2019-03-27,Mumbai,Hyderabad,19:05:00,20:30:00,85,0.0,No Info,2754
Indigo,2019-05-18,Kolkata,Banglore,18:05:00,23:30:00,325,1.0,No Info,6704
Jet Airways,2019-04-09,Delhi,Cochin,22:50:00,04:25:00,335,1.0,No Info,12242
Jet Airways,2019-05-18,Delhi,Cochin,13:25:00,12:35:00,1390,2.0,No Info,16704
Indigo,2019-03-12,Chennai,Kolkata,22:05:00,00:30:00,145,0.0,No Info,6297
Jet Airways,2019-06-06,Delhi,Cochin,20:55:00,04:25:00,450,1.0,In-flight meal not included,10262
Air India,2019-05-18,Delhi,Cochin,16:40:00,19:15:00,1595,2.0,No Info,9863
Indigo,2019-05-06,Banglore,Delhi,23:30:00,02:20:00,170,0.0,No Info,4077
Jet Airways,2019-06-09,Delhi,Cochin,18:15:00,19:00:00,1485,1.0,In-flight meal not included,10577
Jet Airways,2019-05-18,Mumbai,Hyderabad,07:05:00,08:30:00,85,0.0,No Info,5678
Indigo,2019-05-27,Delhi,Cochin,07:35:00,12:10:00,275,1.0,No Info,5054
Jet Airways,2019-06-12,Delhi,Cochin,14:35:00,12:35:00,1320,2.0,No Info,13376
Jet Airways,2019-03-21,Delhi,Cochin,18:25:00,18:50:00,1465,2.0,No Info,12347
Air India,2019-05-18,Delhi,Cochin,17:15:00,07:40:00,865,2.0,No Info,12199
Jet Airways,2019-04-27,Banglore,Delhi,11:10:00,14:05:00,175,0.0,No Info,7229
Multiple Carriers,2019-03-06,Delhi,Cochin,11:30:00,18:50:00,440,1.0,No Info,15135
Multiple Carriers,2019-06-27,Delhi,Cochin,19:00:00,01:30:00,390,1.0,No Info,6795
Jet Airways,2019-06-03,Delhi,Cochin,15:00:00,19:00:00,1680,1.0,No Info,14714
Jet Airways,2019-06-21,Banglore,Delhi,18:55:00,22:00:00,185,0.0,No Info,8541
Jet Airways,2019-03-12,Banglore,New Delhi,20:35:00,23:00:00,1585,1.0,In-flight meal not included,11087
Jet Airways,2019-05-21,Delhi,Cochin,21:50:00,12:35:00,885,1.0,In-flight meal not included,12898
Jet Airways,2019-05-01,Banglore,Delhi,08:20:00,11:20:00,180,0.0,In-flight meal not included,5198
Jet Airways,2019-05-01,Kolkata,Banglore,06:30:00,18:15:00,705,1.0,No Info,14781
Vistara,2019-03-24,Banglore,New Delhi,19:40:00,22:20:00,160,0.0,No Info,4563
Multiple Carriers,2019-06-06,Delhi,Cochin,07:05:00,22:30:00,925,1.0,No Info,9646
Multiple Carriers,2019-03-21,Delhi,Cochin,10:20:00,21:00:00,640,1.0,No Info,7215
Spicejet,2019-05-15,Banglore,Delhi,05:55:00,08:35:00,160,0.0,No Info,3311
Jet Airways,2019-05-18,Kolkata,Banglore,18:55:00,08:15:00,800,1.0,No Info,13584
Jet Airways,2019-03-06,Delhi,Cochin,23:05:00,19:45:00,1240,1.0,No Info,17024
Jet Airways,2019-03-18,Banglore,New Delhi,22:50:00,09:00:00,610,1.0,In-flight meal not included,11087
Jet Airways,2019-03-01,Banglore,New Delhi,07:00:00,12:25:00,325,1.0,No Info,26890
Indigo,2019-06-27,Banglore,Delhi,06:05:00,08:50:00,165,0.0,No Info,3943
Indigo,2019-05-27,Banglore,Delhi,07:10:00,10:05:00,175,0.0,No Info,4823
Jet Airways,2019-05-12,Banglore,Delhi,15:15:00,18:10:00,175,0.0,In-flight meal not included,4544
Indigo,2019-06-27,Mumbai,Hyderabad,20:05:00,21:40:00,95,0.0,No Info,2227
Indigo,2019-03-03,Delhi,Cochin,09:55:00,15:10:00,315,1.0,No Info,12214
Multiple Carriers,2019-06-27,Delhi,Cochin,17:50:00,01:30:00,460,2.0,No Info,18275
Jet Airways,2019-05-27,Delhi,Cochin,05:30:00,19:00:00,810,2.0,No Info,15129
Jet Airways,2019-05-24,Kolkata,Banglore,09:35:00,09:45:00,1450,1.0,No Info,13067
Air Asia,2019-03-03,Kolkata,Banglore,19:35:00,22:05:00,150,0.0,No Info,5964
Air India,2019-04-21,Banglore,Delhi,13:20:00,16:10:00,170,0.0,No Info,6121
Jet Airways,2019-03-09,Banglore,New Delhi,05:45:00,11:25:00,340,1.0,In-flight meal not included,11087
Jet Airways,2019-06-15,Delhi,Cochin,14:35:00,04:25:00,830,2.0,No Info,13376
Jet Airways,2019-05-09,Kolkata,Banglore,17:00:00,21:05:00,1685,1.0,No Info,13067
Indigo,2019-06-03,Chennai,Kolkata,07:55:00,10:15:00,140,0.0,No Info,3850
Vistara,2019-04-27,Delhi,Cochin,14:40:00,17:50:00,190,0.0,No Info,6216
Indigo,2019-06-09,Chennai,Kolkata,22:05:00,00:25:00,140,0.0,No Info,5277
Indigo,2019-06-12,Chennai,Kolkata,07:55:00,10:15:00,140,0.0,No Info,3850
Vistara,2019-03-06,Delhi,Cochin,06:00:00,09:10:00,190,0.0,No Info,12411
Vistara,2019-04-12,Banglore,Delhi,21:00:00,23:50:00,170,0.0,No Info,5613
Air India,2019-03-06,Delhi,Cochin,14:10:00,17:10:00,180,0.0,No Info,7931
Air India,2019-06-15,Delhi,Cochin,07:05:00,09:25:00,1580,2.0,No Info,10975
Multiple Carriers,2019-03-06,Delhi,Cochin,07:05:00,13:20:00,375,1.0,No Info,17267
Jet Airways,2019-03-24,Mumbai,Hyderabad,02:55:00,04:25:00,90,0.0,In-flight meal not included,2071
Indigo,2019-04-18,Kolkata,Banglore,20:20:00,22:55:00,155,0.0,No Info,4174
Jet Airways,2019-06-27,Delhi,Cochin,05:30:00,19:00:00,810,2.0,No Info,13014
Jet Airways,2019-06-06,Delhi,Cochin,05:30:00,12:35:00,425,2.0,No Info,14441
Air India,2019-06-15,Delhi,Cochin,12:30:00,09:25:00,1255,1.0,No Info,7480
Spicejet,2019-03-12,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No Info,6300
Indigo,2019-05-18,Chennai,Kolkata,19:35:00,21:55:00,140,0.0,No Info,3597
Indigo,2019-06-01,Delhi,Cochin,18:35:00,01:30:00,415,1.0,No Info,6628
Jet Airways,2019-05-06,Banglore,Delhi,08:20:00,11:20:00,180,0.0,In-flight meal not included,4544
Indigo,2019-05-03,Banglore,Delhi,08:30:00,11:20:00,170,0.0,No Info,4823
Indigo,2019-06-12,Kolkata,Banglore,17:15:00,19:50:00,155,0.0,No Info,4804
Air India,2019-03-01,Banglore,New Delhi,08:50:00,09:25:00,1475,2.0,No Info,25430
Air India,2019-03-03,Banglore,New Delhi,09:30:00,23:45:00,855,1.0,No Info,11654
Vistara,2019-04-18,Banglore,Delhi,09:45:00,12:35:00,170,0.0,No Info,5403
Jet Airways,2019-03-12,Banglore,New Delhi,07:00:00,23:00:00,960,1.0,No Info,13817
Air India,2019-04-24,Banglore,Delhi,17:00:00,19:45:00,165,0.0,No Info,6121
Air India,2019-05-06,Chennai,Kolkata,11:40:00,13:55:00,135,0.0,No Info,4667
Indigo,2019-03-21,Banglore,New Delhi,18:25:00,21:20:00,175,0.0,No Info,6144
Vistara,2019-06-21,Banglore,Delhi,21:00:00,23:50:00,170,0.0,No Info,5613
Goair,2019-05-21,Delhi,Cochin,07:00:00,12:55:00,355,1.0,No Info,6633
Indigo,2019-03-21,Mumbai,Hyderabad,06:20:00,07:45:00,85,0.0,No Info,4049
Indigo,2019-05-15,Mumbai,Hyderabad,20:05:00,21:40:00,95,0.0,No Info,2227
Indigo,2019-03-18,Mumbai,Hyderabad,21:20:00,22:45:00,85,0.0,No Info,2227
Air India,2019-03-09,Delhi,Cochin,16:40:00,19:15:00,1595,2.0,No Info,11911
Jet Airways,2019-06-27,Delhi,Cochin,20:00:00,04:25:00,505,2.0,No Info,16263
Multiple Carriers,2019-05-15,Delhi,Cochin,08:00:00,19:15:00,675,1.0,No Info,14533
Spicejet,2019-05-15,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No check-in baggage included,4319
Jet Airways,2019-03-12,Banglore,New Delhi,20:35:00,16:10:00,1175,1.0,In-flight meal not included,11087
Air India,2019-04-09,Delhi,Cochin,08:00:00,19:15:00,675,1.0,No Info,6377
Jet Airways,2019-05-18,Delhi,Cochin,10:00:00,19:00:00,540,1.0,No Info,15554
Multiple Carriers,2019-06-12,Delhi,Cochin,04:55:00,12:35:00,460,1.0,No Info,10678
Jet Airways,2019-03-21,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,No Info,5678
Indigo,2019-03-09,Banglore,New Delhi,20:00:00,22:55:00,175,0.0,No Info,6144
Multiple Carriers,2019-03-03,Delhi,Cochin,07:10:00,22:20:00,910,1.0,In-flight meal not included,11125
Jet Airways,2019-06-24,Mumbai,Hyderabad,08:45:00,10:15:00,90,0.0,No Info,8040
Spicejet,2019-03-24,Kolkata,Banglore,15:55:00,21:15:00,320,1.0,No Info,10654
Air India,2019-03-06,Mumbai,Hyderabad,06:10:00,21:15:00,905,1.0,No Info,16666
Indigo,2019-05-09,Delhi,Cochin,17:30:00,01:30:00,480,1.0,No Info,8330
Multiple Carriers,2019-06-06,Delhi,Cochin,09:00:00,21:00:00,720,1.0,No Info,13587
Jet Airways,2019-03-01,Banglore,New Delhi,16:55:00,23:00:00,365,1.0,No Info,54826
Jet Airways,2019-06-06,Delhi,Cochin,14:00:00,19:00:00,300,1.0,In-flight meal not included,10262
Indigo,2019-03-27,Kolkata,Banglore,10:10:00,12:55:00,165,0.0,No Info,4148
Multiple Carriers,2019-05-15,Delhi,Cochin,11:25:00,19:15:00,470,1.0,No Info,7575
Indigo,2019-04-03,Kolkata,Banglore,19:20:00,23:45:00,265,1.0,No Info,3480
Jet Airways,2019-05-09,Delhi,Cochin,09:40:00,04:25:00,1125,2.0,No Info,15129
Jet Airways,2019-06-06,Delhi,Cochin,18:25:00,04:25:00,600,2.0,No Info,14237
Air India,2019-06-01,Delhi,Cochin,22:00:00,19:15:00,1275,2.0,No Info,10861
Multiple Carriers,2019-05-15,Delhi,Cochin,07:00:00,21:00:00,840,1.0,No Info,8073
Jet Airways,2019-03-15,Banglore,New Delhi,07:00:00,15:15:00,495,1.0,In-flight meal not included,9134
Jet Airways,2019-05-18,Kolkata,Banglore,20:00:00,09:20:00,800,1.0,In-flight meal not included,10844
Indigo,2019-05-03,Banglore,Delhi,18:25:00,21:20:00,175,0.0,No Info,4823
Jet Airways,2019-04-01,Kolkata,Banglore,21:10:00,10:05:00,775,1.0,No Info,13784
Spicejet,2019-03-09,Mumbai,Hyderabad,05:45:00,07:05:00,80,0.0,No Info,4391
Jet Airways,2019-05-27,Delhi,Cochin,23:05:00,19:00:00,1195,2.0,No Info,15129
Indigo,2019-05-27,Delhi,Cochin,17:05:00,22:15:00,310,1.0,No Info,6373
Air India,2019-06-27,Delhi,Cochin,05:15:00,19:15:00,2280,3.0,No Info,10703
Jet Airways,2019-05-15,Kolkata,Banglore,18:55:00,09:20:00,865,1.0,In-flight meal not included,9663
Multiple Carriers,2019-03-21,Delhi,Cochin,11:40:00,18:50:00,430,1.0,No Info,11999
Indigo,2019-04-21,Banglore,Delhi,23:30:00,02:20:00,170,0.0,No Info,4591
Jet Airways,2019-03-21,Banglore,New Delhi,20:35:00,10:25:00,830,1.0,In-flight meal not included,7832
Jet Airways,2019-03-27,Delhi,Cochin,05:25:00,19:45:00,2300,2.0,No Info,11664
Indigo,2019-05-09,Chennai,Kolkata,22:05:00,00:25:00,140,0.0,No Info,5277
Air India,2019-05-01,Kolkata,Banglore,09:25:00,18:20:00,535,2.0,No Info,8366
Air India,2019-06-03,Delhi,Cochin,20:15:00,19:15:00,1380,2.0,No Info,13381
Multiple Carriers,2019-03-27,Delhi,Cochin,13:00:00,01:35:00,755,1.0,No Info,6673
Jet Airways,2019-03-21,Banglore,New Delhi,05:45:00,23:00:00,1035,1.0,In-flight meal not included,7832
Multiple Carriers,2019-06-12,Delhi,Cochin,07:30:00,19:15:00,705,1.0,No Info,7354
Jet Airways,2019-03-24,Kolkata,Banglore,16:55:00,16:20:00,1405,1.0,In-flight meal not included,11134
Air Asia,2019-06-27,Banglore,Delhi,23:55:00,02:45:00,170,0.0,No Info,3383
Indigo,2019-06-09,Delhi,Cochin,06:50:00,22:30:00,940,1.0,No Info,6442
Jet Airways,2019-05-09,Delhi,Cochin,20:55:00,04:25:00,450,1.0,In-flight meal not included,12373
Indigo,2019-04-03,Kolkata,Banglore,15:15:00,17:45:00,150,0.0,No Info,4174
Air Asia,2019-05-03,Kolkata,Banglore,10:20:00,12:55:00,155,0.0,No Info,4409
Air Asia,2019-04-27,Delhi,Cochin,07:55:00,22:25:00,870,1.0,No Info,6451
Air India,2019-03-01,Banglore,New Delhi,08:50:00,11:10:00,1580,2.0,No Info,19372
Multiple Carriers,2019-03-03,Delhi,Cochin,11:35:00,21:00:00,565,3.0,No Info,21829
Indigo,2019-06-15,Banglore,Delhi,10:10:00,13:00:00,170,0.0,No Info,3943
Jet Airways,2019-05-21,Banglore,Delhi,17:45:00,20:45:00,180,0.0,In-flight meal not included,4030
Indigo,2019-04-24,Kolkata,Banglore,19:35:00,00:10:00,275,1.0,No Info,4860
Multiple Carriers,2019-06-09,Delhi,Cochin,09:00:00,21:00:00,720,1.0,No Info,13587
Vistara,2019-05-01,Kolkata,Banglore,20:20:00,20:20:00,1440,1.0,No Info,8610
Jet Airways,2019-06-03,Delhi,Cochin,13:00:00,19:00:00,360,1.0,In-flight meal not included,10262
Jet Airways,2019-03-06,Banglore,New Delhi,05:45:00,18:25:00,760,1.0,No Info,16736
Air India,2019-05-27,Banglore,Delhi,17:00:00,19:45:00,165,0.0,No Info,6961
Air India,2019-03-03,Banglore,New Delhi,06:45:00,11:10:00,1705,2.0,No Info,12599
Indigo,2019-05-27,Delhi,Cochin,05:05:00,16:10:00,665,1.0,No Info,6600
Multiple Carriers,2019-05-18,Delhi,Cochin,11:40:00,19:15:00,455,1.0,No Info,9211
Multiple Carriers,2019-06-06,Delhi,Cochin,10:20:00,19:15:00,535,1.0,No Info,8266
Jet Airways,2019-06-06,Delhi,Cochin,15:00:00,04:25:00,805,1.0,In-flight meal not included,10262
Jet Airways,2019-03-12,Banglore,New Delhi,05:45:00,21:20:00,935,1.0,No Info,13817
Multiple Carriers,2019-06-06,Delhi,Cochin,07:30:00,19:00:00,690,1.0,No Info,12524
Spicejet,2019-06-12,Kolkata,Banglore,15:05:00,20:20:00,315,1.0,No Info,4649
Jet Airways,2019-06-01,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,In-flight meal not included,4050
Air India,2019-05-18,Delhi,Cochin,22:00:00,19:15:00,1275,2.0,No Info,10441
Air India,2019-05-21,Delhi,Cochin,19:45:00,19:15:00,1410,2.0,No Info,9443
Indigo,2019-03-27,Delhi,Cochin,20:30:00,01:35:00,305,1.0,No Info,5073
Jet Airways,2019-03-06,Banglore,New Delhi,14:05:00,00:45:00,640,1.0,No Info,14815
Jet Airways,2019-03-06,Banglore,New Delhi,05:45:00,05:05:00,1400,1.0,No Info,13555
Air India,2019-05-12,Kolkata,Banglore,10:00:00,23:15:00,795,1.0,No Info,10203
Jet Airways,2019-03-06,Delhi,Cochin,22:20:00,04:25:00,365,1.0,No Info,15764
Indigo,2019-05-03,Banglore,Delhi,21:15:00,00:15:00,180,0.0,No Info,3943
Jet Airways,2019-06-27,Delhi,Cochin,20:55:00,04:25:00,450,1.0,In-flight meal not included,12898
Jet Airways,2019-06-27,Delhi,Cochin,21:50:00,04:25:00,395,1.0,In-flight meal not included,12898
Spicejet,2019-05-18,Banglore,Delhi,05:55:00,08:35:00,160,0.0,No check-in baggage included,3573
Jet Airways,2019-06-03,Delhi,Cochin,09:40:00,19:00:00,560,2.0,No Info,13014
Indigo,2019-05-12,Mumbai,Hyderabad,19:05:00,20:35:00,90,0.0,No Info,2754
Jet Airways,2019-06-01,Delhi,Cochin,07:05:00,12:35:00,330,1.0,No Info,16079
Jet Airways,2019-05-06,Kolkata,Banglore,14:05:00,12:00:00,1315,1.0,In-flight meal not included,9663
Multiple Carriers,2019-05-21,Delhi,Cochin,14:00:00,21:00:00,420,1.0,No Info,14067
Jet Airways,2019-05-27,Delhi,Cochin,10:00:00,19:00:00,540,1.0,In-flight meal not included,11924
Multiple Carriers,2019-05-27,Delhi,Cochin,17:50:00,01:30:00,460,2.0,No Info,18275
Indigo,2019-05-24,Banglore,Delhi,18:55:00,21:50:00,175,0.0,No Info,4823
Multiple Carriers,2019-06-24,Delhi,Cochin,08:30:00,19:00:00,630,1.0,No Info,10877
Multiple Carriers,2019-06-01,Delhi,Cochin,09:45:00,16:10:00,385,1.0,No Info,9646
Vistara,2019-06-09,Delhi,Cochin,14:40:00,17:50:00,190,0.0,No Info,6216
Indigo,2019-04-27,Banglore,Delhi,13:00:00,15:50:00,170,0.0,No Info,4423
Jet Airways,2019-06-12,Kolkata,Banglore,14:05:00,20:45:00,400,1.0,In-flight meal not included,9899
Indigo,2019-06-03,Delhi,Cochin,17:10:00,01:30:00,500,1.0,No Info,6104
Jet Airways,2019-03-01,Banglore,New Delhi,19:55:00,22:35:00,160,0.0,No Info,18308
Jet Airways,2019-06-12,Delhi,Cochin,11:00:00,14:15:00,195,0.0,In-flight meal not included,7202
Air India,2019-03-06,Mumbai,Hyderabad,21:10:00,16:55:00,255,2.0,No Info,17327
Vistara,2019-03-24,Kolkata,Banglore,07:10:00,22:55:00,945,1.0,No Info,12732
Jet Airways,2019-03-21,Delhi,Cochin,19:10:00,18:50:00,1420,2.0,No Info,10929
Vistara,2019-06-18,Chennai,Kolkata,07:05:00,09:20:00,135,0.0,No Info,3687
Jet Airways,2019-05-24,Banglore,Delhi,06:00:00,08:45:00,165,0.0,No Info,7229
